file,group,action,count
src/content/editorial/_unused/lp/custom-rfid-cards-manufacturer.json,products,skip_group,0
src/content/editorial/_unused/lp/hotel-key-card-supplier.json,products,skip_group,0
src/content/editorial/_unused/lp/nfc-business-card-wholesale.json,products,skip_group,0
src/content/editorial/_unused/lp/rfid-wristband-factory.json,products,skip_group,0
src/content/editorial/_unused/markets/europe.json,products,skip_group,0
src/content/editorial/_unused/markets/latin-america.json,products,skip_group,0
src/content/editorial/_unused/markets/middle-east.json,products,skip_group,0
src/content/editorial/_unused/markets/southeast-asia.json,products,skip_group,0
src/content/editorial/about/corrections.json,about,skip_group,0
src/content/editorial/about/disclosures.json,about,skip_group,0
src/content/editorial/about/editorial-policy.json,about,skip_group,0
src/content/editorial/about/methodology.json,about,skip_group,0
src/content/editorial/about/review-board.json,about,skip_group,0
src/content/editorial/blog/access-card-copied-security-upgrade.json,blog,injected,4
src/content/editorial/blog/ai-rfid-inventory-management.json,blog,injected,4
src/content/editorial/blog/anti-counterfeiting-rfid-events.json,blog,injected,4
src/content/editorial/blog/barcode-labels-peeling-warehouse-rfid-solution.json,blog,injected,4
src/content/editorial/blog/best-rfid-card-for-hotels.json,blog,injected,2
src/content/editorial/blog/cashless-payment-rfid-wristbands.json,blog,injected,4
src/content/editorial/blog/coconut-shell-rfid-wristbands-eco.json,blog,injected,4
src/content/editorial/blog/cost-per-rfid-tag-2026.json,blog,injected,4
src/content/editorial/blog/desfire-ev1-vs-ev2-vs-ev3.json,blog,injected,4
src/content/editorial/blog/difference-nfc-rfid-explained.json,blog,injected,4
src/content/editorial/blog/digital-product-passports-nfc.json,blog,injected,3
src/content/editorial/blog/eco-friendly-rfid-sustainable-cards.json,blog,injected,4
src/content/editorial/blog/em4100-vs-t5577-125khz-comparison.json,blog,skip_low_hits,1
src/content/editorial/blog/google-review-nfc-cards-restaurants.json,blog,skip_low_hits,1
src/content/editorial/blog/hotel-key-card-design-printing.json,blog,injected,2
src/content/editorial/blog/hotel-key-card-encoding-explained.json,blog,injected,2
src/content/editorial/blog/hotel-key-card-not-working-troubleshooting.json,blog,injected,2
src/content/editorial/blog/hotel-key-card-suppliers-guide.json,blog,injected,2
src/content/editorial/blog/hotel-keycard-deactivated-phone-magnet.json,blog,skip_low_hits,1
src/content/editorial/blog/how-far-uhf-rfid-tag-read.json,blog,injected,4
src/content/editorial/blog/how-hotel-rfid-key-cards-work.json,blog,injected,4
src/content/editorial/blog/how-nfc-tags-work-smartphones.json,blog,injected,4
src/content/editorial/blog/how-rfid-readers-work.json,blog,injected,4
src/content/editorial/blog/how-to-choose-rfid-wristband-material.json,blog,injected,4
src/content/editorial/blog/how-to-program-nfc-tags.json,blog,skip_low_hits,1
